log10popdens,logpartyratio,County,State,FIPS
1.554530576,-1.120156905,Autauga County,Alabama,1001
1.703648158,-1.374601517,Baldwin County,Alabama,1003
1.051074582,-0.113557031,Barbour County,Alabama,1005
1.145293202,-1.278945627,Bibb County,Alabama,1007
1.53801815,-2.36164351,Blount County,Alabama,1009
0.807373968,1.131147185,Bullock County,Alabama,1011
0.997944002,-0.27474896,Butler County,Alabama,1013
1.86539235,-0.910530443,Calhoun County,Alabama,1015
1.340298098,-0.303050102,Chambers County,Alabama,1017
1.256075889,-1.754435466,Cherokee County,Alabama,1019
1.388823289,-1.644763909,Chilton County,Alabama,1021
0.74245085,-0.277173528,Choctaw County,Alabama,1023
0.880992511,-0.218792361,Clarke County,Alabama,1025
0.932084519,-1.444150353,Clay County,Alabama,1027
1.012725639,-2.12690808,Cleburne County,Alabama,1029
1.46485711,-1.327936036,Coffee County,Alabama,1031
1.550191039,-0.82915973,Colbert County,Alabama,1033
0.754577287,-0.106239894,Conecuh County,Alabama,1035
0.808810688,-0.640078213,Coosa County,Alabama,1037
1.145932667,-1.71520188,Covington County,Alabama,1039
0.94410118,-0.997895657,Crenshaw County,Alabama,1041
1.636012978,-2.17200606,Cullman County,Alabama,1043
1.53011162,-1.141102582,Dale County,Alabama,1045
1.198410552,0.796378874,Dallas County,Alabama,1047
1.548706022,-1.777490118,DeKalb County,Alabama,1049
1.705020296,-1.18599568,Elmore County,Alabama,1051
1.183202885,-0.783257908,Escambia County,Alabama,1053
1.870699664,-1.1328659,Etowah County,Alabama,1055
1.008676863,-1.596840486,Fayette County,Alabama,1057
1.283558023,-1.460613639,Franklin County,Alabama,1059
1.25052529,-1.879254378,Geneva County,Alabama,1061
0.701403918,1.564530414,Greene County,Alabama,1063
0.950635328,0.4084032,Hale County,Alabama,1065
1.070764129,-0.900061764,Henry County,Alabama,1067
1.84187289,-1.064079535,Houston County,Alabama,1069
1.270876327,-1.513707225,Jackson County,Alabama,1071
2.360311879,0.148873726,Jefferson County,Alabama,1073
0.949101863,-1.726727,Lamar County,Alabama,1075
1.728457857,-1.032486331,Lauderdale County,Alabama,1077
1.26818118,-1.089245192,Lawrence County,Alabama,1079
2.005300075,-0.491854212,Lee County,Alabama,1081
1.807274487,-1.126902119,Limestone County,Alabama,1083
0.741973378,1.025367919,Lowndes County,Alabama,1085
1.082194204,1.647029442,Macon County,Alabama,1087
2.236102498,-0.356743814,Madison County,Alabama,1089
0.887735512,0.070752426,Marengo County,Alabama,1091
1.192712567,-2.063338417,Marion County,Alabama,1093
1.812390706,-1.782865975,Marshall County,Alabama,1095
2.114710803,-0.286018383,Mobile County,Alabama,1097
0.908375929,-0.291907473,Monroe County,Alabama,1099
2.047579418,0.547670847,Montgomery County,Alabama,1101
1.899723299,-1.204115446,Morgan County,Alabama,1103
0.706660367,1.002422653,Perry County,Alabama,1105
0.948967533,-0.317079537,Pickens County,Alabama,1107
1.283074638,-0.421542097,Pike County,Alabama,1109
1.176471601,-1.212278827,Randolph County,Alabama,1111
1.544760802,0.039074541,Russell County,Alabama,1113
1.727301955,-1.738694412,St. Clair County,Alabama,1115
2.016444299,-1.156032371,Shelby County,Alabama,1117
0.744059294,1.097768585,Sumter County,Alabama,1119
1.625509561,-0.53123049,Talladega County,Alabama,1121
1.340383794,-0.900187572,Tallapoosa County,Alabama,1123
1.780161798,-0.407185629,Tuscaloosa County,Alabama,1125
1.498037163,-1.685721724,Walker County,Alabama,1127
0.77442731,-0.935712069,Washington County,Alabama,1129
0.671854727,0.913177081,Wilcox County,Alabama,1131
1.17719985,-2.360030498,Winston County,Alabama,1133
-0.722808129,-0.571194564,Aleutians East Borough,Alaska,2013
-0.296303066,0.550668664,Aleutians West Census Area,Alaska,2016
1.826076695,-0.117099505,Anchorage Municipality,Alaska,2020
-0.765898155,0.900434945,Bethel Census Area,Alaska,2050
-0.146937316,-0.676239045,Bristol Bay Borough,Alaska,2060
-1.166246205,-0.39926923,Denali Borough,Alaska,2068
-0.979699548,0.407346745,Dillingham Census Area,Alaska,2070
0.720117194,-0.48875204,Fairbanks North Star Borough,Alaska,2090
-0.38138205,0.092762667,Haines Borough,Alaska,2100
-0.901190551,0.509570288,Hoonah-Angoon Census Area,Alaska,2105
0.664323206,0.428730653,Juneau City and Borough,Alaska,2110
0.147022167,-0.886689721,Kenai Peninsula Borough,Alaska,2122
0.040350417,-0.562571994,Ketchikan Gateway Borough,Alaska,2130
-0.098750837,-0.429092598,Kodiak Island Borough,Alaska,2150
-0.731922872,1.098435507,Kusilvak Census Area,Alaska,2158
-1.653345609,0.104120139,Lake and Peninsula Borough,Alaska,2164
0.208552147,-1.310403937,Matanuska-Susitna Borough,Alaska,2170
-0.777765447,0.592394225,Nome Census Area,Alaska,2180
-1.370736913,0.304314637,North Slope Borough,Alaska,2185
-1.076934338,0.725207135,Northwest Arctic Borough,Alaska,2188
-0.363236832,-0.474320375,Petersburg Borough,Alaska,2195
-0.323339581,-0.184933281,Prince of Wales-Hyder Census Area,Alaska,2198
0.070230075,0.152979184,Sitka City and Borough,Alaska,2220
-0.025004992,0.661079368,Skagway Municipality,Alaska,2230
-0.970812198,-1.295027656,Southeast Fairbanks Census Area,Alaska,2240
-0.979072295,-0.702870148,Valdez-Cordova Census Area,Alaska,2261
-0.425706202,-1.020565664,Wrangell City and Borough,Alaska,2275
-1.457220307,0.173278959,Yakutat City and Borough,Alaska,2282
-1.84278281,0.650998107,Yukon-Koyukuk Census Area,Alaska,2290
0.392021874,0.830575019,Apache County,Arizona,4001
0.898130363,-0.493050369,Cochise County,Arizona,4003
0.463554164,0.423345686,Coconino County,Arizona,4005
0.636819426,-0.706400209,Gila County,Arizona,4007
0.500205052,-0.888336217,Graham County,Arizona,4009
0.299324223,-0.549623594,Greenlee County,Arizona,4011
0.249516863,-0.942056089,La Paz County,Arizona,4012
2.251738386,-0.072739062,Maricopa County,Arizona,4013
0.776491502,-1.198608124,Mohave County,Arizona,4015
0.625133514,-0.167599737,Navajo County,Arizona,4017
1.631999788,0.285760407,Pima County,Arizona,4019
1.480025322,-0.410145818,Pinal County,Arizona,4021
1.162596697,1.074020128,Santa Cruz County,Arizona,4023
1.028455224,-0.68388034,Yavapai County,Arizona,4025
1.162943641,-0.115744893,Yuma County,Arizona,4027
0.849863644,-0.679386091,Arkansas County,Arkansas,5001
0.932930121,-0.796054524,Ashley County,Arkansas,5003
1.45811292,-1.258545605,Baxter County,Arkansas,5005
2.071799026,-0.77837193,Benton County,Arkansas,5007
1.38742623,-1.430188556,Boone County,Arkansas,5009
0.813634179,-0.496139723,Bradley County,Arkansas,5011
0.504522502,-0.893388967,Calhoun County,Arkansas,5013
1.232787881,-0.708771337,Carroll County,Arkansas,5015
0.812057645,0.314419328,Chicot County,Arkansas,5017
0.999102601,-0.198550767,Clark County,Arkansas,5019
0.958737233,-0.636812367,Clay County,Arkansas,5021
1.245317179,-1.504024509,Cleburne County,Arkansas,5023
0.725346663,-1.224507408,Cleveland County,Arkansas,5025
1.080735011,-0.55249312,Columbia County,Arkansas,5027
1.164833595,-0.601296172,Conway County,Arkansas,5029
1.761185145,-0.777776816,Craighead County,Arkansas,5031
1.610656833,-1.313980682,Crawford County,Arkansas,5033
1.491446696,0.185241687,Crittenden County,Arkansas,5035
1.027250173,-0.830399712,Cross County,Arkansas,5037
0.633430662,-0.257399833,Dallas County,Arkansas,5039
0.776336695,0.150937766,Desha County,Arkansas,5041
0.935703489,-0.517655041,Drew County,Arkansas,5043
1.863006194,-0.69726948,Faulkner County,Arkansas,5045
1.052123659,-1.297034157,Franklin County,Arkansas,5047
0.879761333,-1.179303622,Fulton County,Arkansas,5049
1.748186878,-0.751916733,Garland County,Arkansas,5051
1.043457216,-1.299476802,Grant County,Arkansas,5053
1.474567426,-1.252949938,Greene County,Arkansas,5055
1.067635147,-0.616245186,Hempstead County,Arkansas,5057
1.322984442,-0.955119029,Hot Spring County,Arkansas,5059
0.943654795,-0.848883905,Howard County,Arkansas,5061
1.274924537,-1.237961218,Independence County,Arkansas,5063
0.955071191,-1.29147911,Izard County,Arkansas,5065
1.020824898,-0.723018723,Jackson County,Arkansas,5067
1.494912761,0.532430015,Jefferson County,Arkansas,5069
1.187038792,-0.919507361,Johnson County,Arkansas,5071
0.703617784,-0.532000622,Lafayette County,Arkansas,5073
1.039528918,-1.168677865,Lawrence County,Arkansas,5075
0.779693261,0.344806582,Lee County,Arkansas,5077
0.973866723,-0.673384491,Lincoln County,Arkansas,5079
0.954606324,-0.947717258,Little River County,Arkansas,5081
1.074193207,-1.20927415,Logan County,Arkansas,5083
1.558276122,-1.261290835,Lonoke County,Arkansas,5085
0.871581947,-1.130853148,Madison County,Arkansas,5087
1.026608723,-1.304813315,Marion County,Arkansas,5089
1.431383914,-0.97186691,Miller County,Arkansas,5091
1.263940271,-0.217684809,Mississippi County,Arkansas,5093
0.663692698,-0.075647617,Monroe County,Arkansas,5095
0.648591152,-1.252957314,Montgomery County,Arkansas,5097
0.722170084,-0.548681287,Nevada County,Arkansas,5099
0.567166313,-1.414157212,Newton County,Arkansas,5101
1.103852117,-0.213280255,Ouachita County,Arkansas,5103
0.858870521,-1.057186246,Perry County,Arkansas,5105
1.023855021,0.563526034,Phillips County,Arkansas,5107
0.841843382,-1.527199815,Pike County,Arkansas,5109
1.088012848,-0.516877561,Poinsett County,Arkansas,5111
0.957931747,-1.697357968,Polk County,Arkansas,5113
1.480625568,-1.18091957,Pope County,Arkansas,5115
0.69134096,-1.12574495,Prairie County,Arkansas,5117
2.301413285,0.37901035,Pulaski County,Arkansas,5119
1.01789241,-1.151681783,Randolph County,Arkansas,5121
1.203919827,0.232427396,St. Francis County,Arkansas,5123
1.799150832,-0.995628243,Saline County,Arkansas,5125
0.654971806,-1.545504071,Scott County,Arkansas,5127
0.662056005,-1.592658997,Searcy County,Arkansas,5129
1.966253661,-0.859174804,Sebastian County,Arkansas,5131
1.069905279,-1.115827594,Sevier County,Arkansas,5133
1.036903854,-1.300702431,Sharp County,Arkansas,5135
0.898969895,-1.233229441,Stone County,Arkansas,5137
1.169137025,-0.587825877,Union County,Arkansas,5139
0.957907318,-1.246742482,Van Buren County,Arkansas,5141
1.971586416,-0.224331846,Washington County,Arkansas,5143
1.468275409,-1.405975309,White County,Arkansas,5145
0.641709715,-0.185003722,Woodruff County,Arkansas,5147
0.952065515,-1.139434283,Yell County,Arkansas,5149
2.934880601,1.673996311,Alameda County,California,6001
-0.222369733,0.410193248,Alpine County,California,6003
1.390322872,-0.55057387,Amador County,California,6005
1.728963469,-0.087035077,Butte County,California,6007
1.233569859,-0.52432928,Calaveras County,California,6009
0.857445888,-0.289279142,Colusa County,California,6011
2.785458175,0.996559778,Contra Costa County,California,6013
1.022136727,-0.387417039,Del Norte County,California,6015
1.625308129,-0.301258871,El Dorado County,California,6017
1.801991136,0.081784884,Fresno County,California,6019
0.913675097,-0.635739241,Glenn County,California,6021
1.167053664,0.588123523,Humboldt County,California,6023
1.221674755,0.924385373,Imperial County,California,6025
-0.163767051,-0.297459789,Inyo County,California,6027
1.622477757,-0.320575959,Kern County,California,6029
1.619899242,-0.301728056,Kings County,California,6031
1.294716951,0.081432562,Lake County,California,6033
0.423478767,-1.225413952,Lassen County,California,6035
2.982607128,1.116145781,Los Angeles County,California,6037
1.447280512,-0.369518409,Madera County,California,6039
2.285783412,1.597906273,Marin County,California,6041
0.669712111,-0.507296018,Mariposa County,California,6043
0.983466658,0.659400118,Mendocino County,California,6045
1.729749573,0.167461793,Merced County,California,6047
-0.054838726,-1.106517466,Modoc County,California,6049
0.254039173,0.259401299,Mono County,California,6051
1.707301124,0.897740788,Monterey County,California,6053
1.860389686,0.783873259,Napa County,California,6055
1.601484074,0.098054853,Nevada County,California,6057
3.187810155,0.163350879,Orange County,California,6059
2.018254458,-0.242522413,Placer County,California,6061
0.451459205,-0.454491567,Plumas County,California,6063
